function,frame,time_ms
imagePyramid,234,0.361721
track,234,1.962022,0.002158,1
imagePyramid,234,0.411681
preCompute,234,1.450131
imagePyramid,234,0.377690
preCompute,234,1.563662
imagePyramid,236,0.300790
track,236,1.812792,0.000000,1
imagePyramid,237,0.404761
track,237,2.521192,0.001085,1
imagePyramid,238,0.453650
track,238,2.345323,0.000947,1
imagePyramid,239,0.511521
track,239,2.348022,0.001193,1
imagePyramid,240,0.416551
track,240,2.194472,0.001228,1
imagePyramid,241,0.370651
track,241,2.184632,0.001435,1
imagePyramid,242,0.388840
track,242,2.243442,0.002040,1
imagePyramid,243,0.463721
track,243,2.322762,0.002312,1
imagePyramid,244,0.492930
track,244,2.425032,0.002042,1
imagePyramid,245,0.471791
track,245,2.385612,0.002753,1
imagePyramid,245,0.432501
preCompute,245,1.380641
imagePyramid,245,0.398141
preCompute,245,1.293071
imagePyramid,247,0.315010
track,247,1.722512,0.000000,1
imagePyramid,248,0.359130
track,248,2.388862,0.000870,1
imagePyramid,249,0.364700
track,249,2.021371,0.001517,1
imagePyramid,250,0.393660
track,250,2.228172,0.001922,1
imagePyramid,251,0.359971
track,251,2.433592,0.002127,1
imagePyramid,252,0.364970
track,252,2.250592,0.001956,1
imagePyramid,253,0.368520
track,253,2.285082,0.002159,1
imagePyramid,254,0.366011
track,254,2.384922,0.002250,1
imagePyramid,255,0.514461
track,255,2.420982,0.002259,1
imagePyramid,256,0.475430
track,256,2.110612,0.002362,1
imagePyramid,256,0.477270
preCompute,256,1.290111
imagePyramid,256,0.449000
preCompute,256,1.650301
imagePyramid,258,0.420141
track,258,1.862541,0.000000,1
imagePyramid,259,0.493901
track,259,3.079993,0.001546,1
imagePyramid,260,0.476290
track,260,2.401792,0.001841,1
imagePyramid,261,0.557030
track,261,2.413483,0.001642,1
imagePyramid,262,0.478161
track,262,2.195392,0.001370,1
imagePyramid,263,0.367690
track,263,2.176422,0.001462,1
imagePyramid,264,0.354540
track,264,2.254433,0.001960,1
imagePyramid,265,0.389230
track,265,2.134522,0.002120,1
imagePyramid,266,0.358400
track,266,2.038422,0.002039,1
imagePyramid,267,0.359890
track,267,2.582743,0.001921,1
imagePyramid,267,0.349550
preCompute,267,1.516702
imagePyramid,267,0.412330
preCompute,267,1.854262
imagePyramid,269,0.306290
track,269,2.106242,0.000000,1
imagePyramid,270,0.361290
track,270,2.576063,0.000909,1
imagePyramid,271,0.364950
track,271,2.368712,0.001025,1
imagePyramid,272,0.529530
track,272,2.619403,0.001292,1
imagePyramid,273,0.409440
track,273,2.261572,0.001363,1
imagePyramid,274,0.488481
track,274,2.443782,0.001391,1
imagePyramid,275,0.357900
track,275,2.359852,0.001265,1
imagePyramid,276,0.639870
track,276,2.256182,0.002500,1
imagePyramid,277,0.395491
track,277,2.130772,0.002745,1
imagePyramid,278,0.396031
track,278,2.249472,0.002745,1
imagePyramid,278,0.369791
preCompute,278,1.305401
imagePyramid,278,0.481701
preCompute,278,1.457331
imagePyramid,280,0.339450
track,280,1.846211,0.000000,1
imagePyramid,281,0.433220
track,281,2.728583,0.001267,1
imagePyramid,282,0.470020
track,282,2.364332,0.000659,1
imagePyramid,283,0.428490
track,283,2.247472,0.001553,1
imagePyramid,284,0.385230
track,284,2.333243,0.001473,1
imagePyramid,285,0.503580
track,285,2.341442,0.001415,1
imagePyramid,286,0.455100
track,286,2.417822,0.002697,1
imagePyramid,287,0.414870
track,287,2.296522,0.002553,1
imagePyramid,288,0.390310
track,288,2.093212,0.002884,1
imagePyramid,289,0.401381
track,289,2.328122,0.002024,1
imagePyramid,289,0.458821
preCompute,289,1.543471
imagePyramid,289,0.425470
preCompute,289,1.697092
imagePyramid,291,0.350070
track,291,2.029822,0.000000,1
imagePyramid,292,0.428351
track,292,2.467772,0.002181,1
imagePyramid,293,1.321651
track,293,2.901423,0.002224,1
imagePyramid,294,0.461291
track,294,2.261122,0.001912,1
imagePyramid,295,0.489860
track,295,2.172871,0.002288,1
imagePyramid,296,0.342890
track,296,2.034612,0.001938,1
imagePyramid,297,0.361120
track,297,1.963132,0.001967,1
imagePyramid,298,0.418271
track,298,2.398672,0.002021,1
imagePyramid,299,0.355231
track,299,2.353062,0.002115,1
imagePyramid,300,0.399001
track,300,2.608972,0.002153,1
imagePyramid,300,0.392161
preCompute,300,1.527091
imagePyramid,300,0.376671
preCompute,300,1.782651
imagePyramid,302,0.345381
track,302,2.046252,0.000000,1
imagePyramid,303,0.369480
track,303,2.849173,0.000920,1
imagePyramid,304,0.390000
track,304,3.155113,0.001105,1
imagePyramid,305,0.478530
track,305,2.520273,0.002149,1
imagePyramid,306,0.432010
track,306,2.648113,0.001462,1
imagePyramid,307,0.366380
track,307,2.442562,0.002061,1
imagePyramid,308,0.481381
track,308,2.306022,0.002090,1
imagePyramid,309,0.406290
track,309,2.461382,0.001384,1
imagePyramid,310,0.352040
track,310,2.468372,0.001687,1
imagePyramid,311,0.358521
track,311,2.272002,0.002336,1
imagePyramid,311,0.500390
preCompute,311,1.583201
imagePyramid,311,0.394651
preCompute,311,1.877471
imagePyramid,313,0.352570
track,313,2.067742,0.000000,1
imagePyramid,314,0.390650
track,314,3.211413,0.001114,1
imagePyramid,315,0.423881
track,315,3.310143,0.002375,1
imagePyramid,316,0.368160
track,316,2.327462,0.002692,1
imagePyramid,317,0.359530
track,317,2.407232,0.001316,1
imagePyramid,318,0.377690
track,318,2.635552,0.002363,1
imagePyramid,319,0.423020
track,319,2.595112,0.001629,1
imagePyramid,320,0.394381
track,320,2.656662,0.001400,1
imagePyramid,321,0.388940
track,321,2.423063,0.002057,1
imagePyramid,322,0.375381
track,322,2.554352,0.002583,1
imagePyramid,322,0.468360
preCompute,322,1.534932
imagePyramid,322,0.477370
preCompute,322,1.695992
imagePyramid,324,0.369990
track,324,2.076671,0.000000,1
imagePyramid,325,0.449731
track,325,3.208122,0.001246,1
imagePyramid,326,0.396360
track,326,3.133563,0.001223,1
imagePyramid,327,0.370261
track,327,2.462692,0.000881,1
imagePyramid,328,0.442571
track,328,2.306632,0.001911,1
imagePyramid,329,0.377741
track,329,2.456342,0.001529,1
imagePyramid,330,0.351101
track,330,2.470732,0.002831,1
imagePyramid,331,0.366241
track,331,2.156742,0.003263,1
imagePyramid,332,0.368740
track,332,2.153792,0.004212,1
imagePyramid,332,0.327011
preCompute,332,1.432721
imagePyramid,332,0.404721
preCompute,332,1.783281
imagePyramid,334,0.343910
track,334,2.067302,0.000000,1
imagePyramid,335,0.452461
track,335,2.877192,0.002228,1
imagePyramid,336,0.414551
track,336,3.113803,0.002225,1
imagePyramid,337,0.388691
track,337,2.735892,0.001192,1
imagePyramid,338,0.371140
track,338,2.545322,0.001756,1
imagePyramid,339,0.377971
track,339,2.253722,0.001845,1
imagePyramid,340,0.352560
track,340,2.431352,0.001686,1
imagePyramid,341,0.387981
track,341,2.632462,0.002167,1
imagePyramid,342,0.507881
track,342,2.450562,0.002137,1
imagePyramid,343,0.362870
track,343,2.329002,0.002041,1
imagePyramid,343,0.409331
preCompute,343,1.567381
imagePyramid,343,0.357170
preCompute,343,1.646962
imagePyramid,345,0.337390
track,345,1.875902,0.000000,1
imagePyramid,346,0.513480
track,346,2.581822,0.001222,1
imagePyramid,347,0.505881
track,347,3.321613,0.000993,1
imagePyramid,348,0.397630
track,348,2.328422,0.002212,1
imagePyramid,349,0.477320
track,349,2.641263,0.001242,1
imagePyramid,350,0.440090
track,350,2.425352,0.001318,1
imagePyramid,351,0.527870
track,351,2.393802,0.001293,1
imagePyramid,352,0.449340
track,352,2.221072,0.002043,1
imagePyramid,353,0.501020
track,353,2.141102,0.003807,1
imagePyramid,353,0.395280
preCompute,353,1.302481
imagePyramid,353,0.354840
preCompute,353,1.340001
imagePyramid,355,0.289561
track,355,1.549001,0.000000,1
imagePyramid,356,0.440511
track,356,2.625692,0.001356,1
imagePyramid,357,0.387090
track,357,2.629822,0.001477,1
imagePyramid,358,0.355510
track,358,2.505162,0.001715,1
imagePyramid,359,0.377550
track,359,2.411602,0.001708,1
imagePyramid,360,0.385940
track,360,2.094342,0.002302,1
imagePyramid,361,0.377610
track,361,2.138102,0.002915,1
imagePyramid,362,0.539151
track,362,2.344232,0.002546,1
imagePyramid,363,0.441521
track,363,2.119102,0.002852,1
imagePyramid,364,0.379031
track,364,2.011282,0.003144,1
